task,level,domain,field,subfield,n_substeps,researcher_hours,elapsed_hours,confidence
"Conduct field interviews with trade officials, customs authorities, or international arbitration practitioners.",subfield,Social Sciences,Business & Management,International Business,11,307.17,967.03,medium
Derive analytic variables or indicators from existing records and data sources to operationalize study constructs,domain,Social Sciences,Business & Management,International Business,9,35.25,35.25,medium
Design sampling and eligibility criteria to select participants or study units for data collection,domain,Social Sciences,Business & Management,International Business,9,13.17,13.17,medium
Select illustrative or comparative cases from secondary sources to support a conceptual argument,subfield,Social Sciences,Business & Management,International Business,11,29.25,29.25,medium
Harmonize financial and operational data reported under different national accounting standards and currencies.,subfield,Social Sciences,Business & Management,International Business,11,153.17,157.17,medium
Clean and standardize company names and identifiers to match firms across multiple country-level datasets.,subfield,Social Sciences,Business & Management,International Business,15,63.08,65.92,medium
Code qualitative data from interviews with multinational executives to identify themes related to internationalization challenges.,subfield,Social Sciences,Business & Management,International Business,10,231.83,295.83,medium
Address endogeneity in estimating the relationship between internationalization and firm performance using instrumental variables.,subfield,Social Sciences,Business & Management,International Business,14,133.58,165.58,medium
Control for country-level confounders such as institutional quality and economic development when analyzing cross-national data.,subfield,Social Sciences,Business & Management,International Business,12,36.38,36.38,medium
Code and synthesize characteristics and findings across a corpus of published work to map a body of literature,field,Social Sciences,Business & Management,International Business,11,219.0,385.0,medium
"Corroborate findings by triangulating independent data sources, methods, or informants to establish the credibility of interpretations",domain,Social Sciences,Business & Management,International Business,9,38.75,223.25,medium
Specify cross-level interaction models to test how country-level conditions moderate firm-level relationships.,subfield,Social Sciences,Business & Management,International Business,10,34.75,72.62,medium
Coordinate with multinational enterprises to gain access to proprietary data on international operations and supply chains.,subfield,Social Sciences,Business & Management,International Business,11,163.42,4819.17,low
Partner with trade associations or chambers of commerce to recruit internationally active firms for research participation.,subfield,Social Sciences,Business & Management,International Business,12,75.95,2446.08,medium
Derive kinetic rate expressions from proposed catalytic cycles to guide mechanistic understanding.,subfield,Physical Sciences,Chemistry,Catalysis,10,8.18,8.18,medium
Calculate thermodynamic parameters for catalyst-substrate binding and reaction intermediates.,subfield,Physical Sciences,Chemistry,Catalysis,10,18.32,104.52,medium
"Design catalyst screening experiments with systematic variation of ligands, metals, and reaction conditions.",subfield,Physical Sciences,Chemistry,Catalysis,12,26.08,33.58,medium
"Optimize reaction parameters including temperature, pressure, solvent, and catalyst loading for maximum yield and selectivity.",subfield,Physical Sciences,Chemistry,Catalysis,10,54.73,168.23,medium
Design control experiments to distinguish between homogeneous and heterogeneous catalytic pathways.,subfield,Physical Sciences,Chemistry,Catalysis,11,54.42,306.92,medium
Monitor reaction progress using spectroscopic techniques to track substrate consumption and product formation.,subfield,Physical Sciences,Chemistry,Catalysis,10,11.55,17.5,medium
Measure catalyst turnover numbers and turnover frequencies under standardized conditions.,subfield,Physical Sciences,Chemistry,Catalysis,10,20.62,57.18,medium
Determine enantiomeric excess using chiral chromatography or polarimetry for asymmetric reactions.,subfield,Physical Sciences,Chemistry,Catalysis,9,17.6,46.47,medium
Synthesize organometallic catalyst precursors and ligand frameworks for catalytic applications.,subfield,Physical Sciences,Chemistry,Catalysis,12,71.12,720.25,medium
"Prepare heterogeneous catalysts through impregnation, precipitation, or sol-gel methods.",subfield,Physical Sciences,Chemistry,Catalysis,11,31.27,218.52,medium
