task,level,domain,field,subfield,relation_aggregate,relation_evaluate,relation_produce,relation_communicate,relation_support,medium_information,medium_materials,medium_people,mode_theoretical,mode_quantitative,mode_qualitative,mode_design,mode_none,cognitive_complexity,physical_deployment,regulatory_restriction,rl_physical_gate_pass,rl_verification,rl_simulability,rl_feedback_density,pasteur_applies,pasteur_understanding,pasteur_use,pasteur_quadrant,years_education,cdr_rl_source
"Employ quasi-experimental methods to identify causal effects of place-based policies, infrastructure investments, or regulatory changes on property values.",subfield,Social Sciences,Economics,Urban & Real Estate Economics,10.0,5.0,65.0,15.0,5.0,95.0,0.0,5.0,5.0,90.0,0.0,5.0,0.0,2.18,0.0,0.03,1.0,6.91,8.41,7.0,yes,3.0,5.0,Edison,20.0,substep_mean
Control for neighborhood selection and sorting when estimating the effects of local amenities or disamenities on housing market outcomes.,subfield,Social Sciences,Economics,Urban & Real Estate Economics,5.0,0.0,85.0,10.0,0.0,95.0,0.0,5.0,15.0,80.0,0.0,5.0,0.0,2.14,0.0,0.0,1.0,6.25,8.04,6.0,yes,3.0,4.0,Edison,20.0,substep_mean
Define and harmonize consistent units of observation across data sources and time.,subfield,Social Sciences,Economics,Urban & Real Estate Economics,10.0,5.0,70.0,10.0,5.0,95.0,0.0,5.0,0.0,70.0,5.0,20.0,5.0,1.93,0.0,0.0,1.0,7.93,9.54,8.12,yes,3.0,4.0,Edison,16.0,substep_mean
Construct distance-based proximity or accessibility measures for use as explanatory variables.,subfield,Social Sciences,Economics,Urban & Real Estate Economics,5.0,0.0,90.0,5.0,0.0,95.0,5.0,0.0,0.0,85.0,0.0,15.0,0.0,1.43,0.0,0.0,1.0,8.01,9.18,8.04,yes,3.0,4.0,Edison,16.0,substep_mean
"Derive housing market measures from property price, rent, and debt data to characterize housing costs and dynamics.",subfield,Social Sciences,Economics,Urban & Real Estate Economics,10.0,0.0,75.0,10.0,5.0,95.0,0.0,5.0,5.0,90.0,0.0,5.0,0.0,1.66,0.0,0.0,1.0,8.01,9.27,7.75,yes,3.0,4.0,Edison,16.0,substep_mean
Estimate spatial interaction models to quantify how distance attenuates flows and spillovers between locations.,subfield,Social Sciences,Economics,Urban & Real Estate Economics,5.0,0.0,75.0,15.0,5.0,95.0,0.0,5.0,10.0,85.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,7.33,9.21,7.24,yes,4.0,4.0,Pasteur,18.0,substep_mean
Compare observed housing prices with fundamentals-based equilibrium values to quantify mispricing.,subfield,Social Sciences,Economics,Urban & Real Estate Economics,10.0,5.0,65.0,15.0,5.0,95.0,0.0,5.0,20.0,65.0,0.0,5.0,10.0,1.95,0.0,0.0,1.0,7.64,7.98,6.8,yes,3.0,4.0,Edison,18.0,substep_mean
Construct house price indices from repeat sales or median transaction prices to track market price trends.,subfield,Social Sciences,Economics,Urban & Real Estate Economics,5.0,0.0,80.0,10.0,5.0,95.0,0.0,5.0,0.0,95.0,0.0,5.0,0.0,1.86,0.0,0.0,1.0,7.42,9.2,7.47,yes,3.0,4.0,Edison,16.0,substep_mean
"Estimate time-series statistics of persistence, predictability, and cyclical asymmetry to characterize housing price dynamics.",subfield,Social Sciences,Economics,Urban & Real Estate Economics,5.0,0.0,70.0,20.0,5.0,95.0,0.0,5.0,5.0,90.0,0.0,0.0,5.0,1.85,0.0,0.0,1.0,8.47,9.73,7.54,yes,4.0,4.0,Pasteur,18.0,substep_mean
"Apply prospect theory, bounded rationality, or social preference models to formulate testable hypotheses about economic decision-making.",subfield,Social Sciences,Economics,Behavioral & Experimental Economics,15.0,0.0,65.0,15.0,5.0,95.0,0.0,5.0,70.0,15.0,5.0,10.0,0.0,2.73,0.0,0.0,1.0,4.7,8.48,4.98,yes,4.0,2.0,Bohr,20.0,substep_mean
"Incorporate insights from behavioral anomalies such as loss aversion, present bias, or framing effects into research design.",subfield,Social Sciences,Economics,Behavioral & Experimental Economics,15.0,0.0,70.0,10.0,5.0,80.0,0.0,20.0,30.0,15.0,5.0,50.0,0.0,2.65,0.0,0.08,1.0,5.56,6.95,4.37,yes,4.0,3.0,Bohr,18.0,substep_mean
Design experimental procedures that induce or elicit participant behavior to test its effect on economic outcomes.,subfield,Social Sciences,Economics,Behavioral & Experimental Economics,10.0,5.0,65.0,5.0,15.0,25.0,10.0,65.0,5.0,40.0,5.0,45.0,5.0,2.12,0.0,0.21,1.0,6.29,7.94,6.16,yes,4.0,3.0,Bohr,20.0,substep_mean
Design experimental treatments that vary the institutional rules or interaction structure of a game to identify their behavioral effects.,subfield,Social Sciences,Economics,Behavioral & Experimental Economics,10.0,5.0,70.0,10.0,5.0,80.0,5.0,15.0,25.0,20.0,5.0,45.0,5.0,2.12,0.0,0.08,1.0,7.54,9.1,7.01,yes,4.0,3.0,Bohr,20.0,substep_mean
"Design incentive-compatible elicitation mechanisms to measure risk preferences, time preferences, or social preferences.",subfield,Social Sciences,Economics,Behavioral & Experimental Economics,10.0,5.0,65.0,15.0,5.0,80.0,5.0,15.0,45.0,20.0,0.0,35.0,0.0,2.77,0.23,0.77,1.0,5.39,7.18,5.34,yes,4.0,4.0,Pasteur,20.0,substep_mean
Construct belief elicitation tasks using proper scoring rules to measure subjective probabilities.,subfield,Social Sciences,Economics,Behavioral & Experimental Economics,5.0,0.0,80.0,5.0,10.0,45.0,5.0,50.0,15.0,25.0,0.0,60.0,0.0,1.81,0.0,0.0,1.0,7.07,8.35,6.27,yes,4.0,2.0,Bohr,18.0,substep_mean
Develop deception-free experimental protocols that maintain credibility with participants while testing behavioral hypotheses.,subfield,Social Sciences,Economics,Behavioral & Experimental Economics,10.0,5.0,65.0,10.0,10.0,70.0,5.0,25.0,10.0,25.0,10.0,50.0,5.0,2.08,0.39,1.42,1.0,4.77,6.51,5.08,yes,3.0,3.0,neither,18.0,substep_mean
Prepare informed consent procedures that explain incentive payments and experimental tasks without revealing hypotheses.,subfield,Social Sciences,Economics,Behavioral & Experimental Economics,10.0,5.0,5.0,30.0,50.0,30.0,0.0,70.0,0.0,0.0,5.0,20.0,75.0,1.78,0.0,1.58,1.0,5.67,7.7,5.72,yes,2.0,3.0,neither,16.0,substep_mean
Conduct laboratory experiments using computerized interfaces to collect incentivized choice data from participants.,subfield,Social Sciences,Economics,Behavioral & Experimental Economics,5.0,0.0,80.0,5.0,10.0,20.0,10.0,70.0,0.0,70.0,5.0,25.0,0.0,1.68,0.52,0.44,0.81,7.09,7.07,6.63,yes,4.0,3.0,Bohr,16.0,substep_mean
Implement online experiments through platforms to collect behavioral data from geographically dispersed participants.,subfield,Social Sciences,Economics,Behavioral & Experimental Economics,5.0,0.0,80.0,5.0,10.0,45.0,5.0,50.0,0.0,55.0,5.0,40.0,0.0,1.87,0.0,0.14,1.0,7.71,8.46,7.54,yes,4.0,3.0,Bohr,16.0,substep_mean
Run field experiments by randomizing treatments in natural economic environments to measure behavioral responses.,subfield,Social Sciences,Economics,Behavioral & Experimental Economics,5.0,0.0,80.0,10.0,5.0,20.0,10.0,70.0,5.0,80.0,5.0,10.0,0.0,2.32,0.36,0.83,1.0,4.9,4.82,4.85,yes,4.0,4.0,Pasteur,18.0,substep_mean
"Administer economic games such as dictator, ultimatum, public goods, or trust games to measure social preferences.",subfield,Social Sciences,Economics,Behavioral & Experimental Economics,0.0,0.0,85.0,5.0,10.0,15.0,5.0,80.0,0.0,60.0,5.0,35.0,0.0,1.49,0.3,0.78,0.94,7.69,7.98,6.91,yes,4.0,2.0,Bohr,16.0,substep_mean
"Administer standardized assessments to measure participants' cognitive, personality, or skill traits.",subfield,Social Sciences,Economics,Behavioral & Experimental Economics,5.0,0.0,85.0,0.0,10.0,15.0,5.0,80.0,0.0,90.0,5.0,5.0,0.0,1.3,0.39,0.2,1.0,7.52,8.04,6.92,yes,4.0,3.0,Bohr,16.0,substep_mean
Collect or reuse detailed participant-level experimental data to test hypotheses beyond the choices directly observed.,subfield,Social Sciences,Economics,Behavioral & Experimental Economics,10.0,0.0,75.0,10.0,5.0,55.0,0.0,45.0,5.0,85.0,5.0,5.0,0.0,1.94,0.27,0.69,1.0,6.94,6.73,5.97,yes,4.0,3.0,Bohr,18.0,substep_mean
Design communication channels through which participants exchange messages during experimental interaction.,subfield,Social Sciences,Economics,Behavioral & Experimental Economics,5.0,5.0,70.0,10.0,10.0,80.0,5.0,15.0,10.0,10.0,5.0,70.0,5.0,1.65,0.0,0.03,1.0,6.81,8.7,6.42,yes,4.0,2.0,Bohr,16.0,substep_mean
Administer comprehension checks to verify that participants understand experimental instructions before incentivized decisions begin.,subfield,Social Sciences,Economics,Behavioral & Experimental Economics,0.0,5.0,80.0,5.0,10.0,10.0,0.0,90.0,0.0,70.0,5.0,15.0,10.0,1.44,0.06,0.1,1.0,7.8,8.3,7.51,yes,3.0,2.0,neither,12.0,substep_mean
Train participants on complex experimental tasks using instructional aids and practice rounds before data collection.,subfield,Social Sciences,Economics,Behavioral & Experimental Economics,0.0,0.0,5.0,25.0,70.0,10.0,10.0,80.0,0.0,0.0,0.0,5.0,95.0,1.72,0.16,0.06,0.95,6.77,8.67,6.61,yes,3.0,3.0,neither,16.0,substep_mean
Design recruitment and sampling procedures to assemble experimental subject pools from target populations.,subfield,Social Sciences,Economics,Behavioral & Experimental Economics,5.0,0.0,70.0,5.0,20.0,15.0,0.0,85.0,0.0,55.0,10.0,35.0,0.0,1.91,0.14,0.94,1.0,5.88,6.95,5.46,yes,3.0,2.0,neither,16.0,substep_mean
Design procedural controls that hold constant or randomize incidental features of the experimental setting to rule out confounds.,subfield,Social Sciences,Economics,Behavioral & Experimental Economics,10.0,5.0,65.0,5.0,15.0,70.0,10.0,20.0,10.0,25.0,5.0,55.0,5.0,1.81,0.22,0.03,0.96,6.88,8.61,6.43,yes,4.0,2.0,Bohr,18.0,substep_mean
Assess external validity of laboratory findings by considering differences between student samples and general populations.,subfield,Social Sciences,Economics,Behavioral & Experimental Economics,25.0,45.0,15.0,10.0,5.0,80.0,0.0,20.0,10.0,40.0,35.0,5.0,10.0,1.92,0.0,0.1,1.0,5.89,6.43,5.33,yes,3.0,4.0,Edison,18.0,substep_mean
"Evaluate whether experimental results replicate across different incentive structures, stake sizes, or cultural contexts.",subfield,Social Sciences,Economics,Behavioral & Experimental Economics,10.0,35.0,40.0,10.0,5.0,40.0,5.0,55.0,5.0,70.0,5.0,15.0,5.0,1.83,0.38,0.55,1.0,6.37,5.38,5.29,yes,4.0,3.0,Bohr,18.0,substep_mean
Test whether behavioral measures elicited from individuals predict their naturally occurring economic outcomes.,subfield,Social Sciences,Economics,Behavioral & Experimental Economics,5.0,5.0,65.0,20.0,5.0,30.0,0.0,70.0,5.0,80.0,5.0,5.0,5.0,1.88,0.32,1.38,1.0,5.53,5.49,4.88,yes,4.0,4.0,Pasteur,18.0,substep_mean
Estimate structural parameters of utility functions or decision models from experimental choice data.,subfield,Social Sciences,Economics,Behavioral & Experimental Economics,5.0,0.0,80.0,10.0,5.0,95.0,0.0,5.0,10.0,80.0,0.0,10.0,0.0,1.79,0.0,0.0,1.0,8.12,9.52,8.15,yes,4.0,3.0,Bohr,18.0,substep_mean
Analyze treatment effects from randomized experiments using appropriate statistical tests for between-subject and within-subject designs.,subfield,Social Sciences,Economics,Behavioral & Experimental Economics,5.0,5.0,75.0,10.0,5.0,95.0,0.0,5.0,5.0,90.0,0.0,5.0,0.0,1.86,0.0,0.0,1.0,7.85,9.73,8.16,yes,4.0,3.0,Bohr,16.0,substep_mean
"Test for order effects, learning, and fatigue in within-subject experimental designs.",subfield,Social Sciences,Economics,Behavioral & Experimental Economics,5.0,10.0,65.0,15.0,5.0,90.0,0.0,10.0,0.0,90.0,0.0,5.0,5.0,1.63,0.0,0.0,1.0,8.17,9.5,7.63,yes,3.0,3.0,neither,16.0,substep_mean
Conduct manipulation checks to verify that experimental treatments produced their intended psychological state or perception.,subfield,Social Sciences,Economics,Behavioral & Experimental Economics,0.0,10.0,75.0,10.0,5.0,30.0,0.0,70.0,0.0,85.0,5.0,5.0,5.0,1.84,0.0,0.0,1.0,6.37,8.97,5.76,yes,3.0,2.0,neither,16.0,substep_mean
Classify participants into behavioral types by matching their observed choice or process patterns to canonical categories.,subfield,Social Sciences,Economics,Behavioral & Experimental Economics,5.0,5.0,75.0,10.0,5.0,75.0,0.0,25.0,5.0,80.0,10.0,0.0,5.0,1.75,0.0,0.0,1.0,7.91,9.36,7.66,yes,4.0,2.0,Bohr,16.0,substep_mean
Evaluate the temporal stability of findings given changes in political institutions or economic conditions.,subfield,Social Sciences,Economics,Political Economy,15.0,35.0,35.0,10.0,5.0,95.0,0.0,5.0,10.0,70.0,10.0,0.0,10.0,2.39,0.0,0.0,1.0,5.51,8.14,5.91,yes,4.0,3.0,Bohr,18.0,substep_mean
"Compile and synthesize documentary, secondary, and case-narrative evidence to support substantive or theoretical claims.",subfield,Social Sciences,Economics,Political Economy,55.0,10.0,15.0,15.0,5.0,90.0,5.0,5.0,10.0,5.0,75.0,0.0,10.0,2.2,0.0,0.0,1.0,5.02,8.24,5.97,yes,4.0,3.0,Bohr,18.0,substep_mean
"Apply theories of rent-seeking, collective action, or public choice to frame research questions about policy outcomes.",subfield,Social Sciences,Economics,Political Economy,35.0,5.0,45.0,15.0,0.0,95.0,0.0,5.0,70.0,10.0,10.0,0.0,10.0,3.0,0.0,0.0,1.0,3.57,7.39,3.61,yes,4.0,3.0,Bohr,18.0,substep_mean
Incorporate institutional frameworks such as property rights regimes or constitutional constraints when developing hypotheses about economic behavior.,subfield,Social Sciences,Economics,Political Economy,35.0,5.0,45.0,15.0,0.0,90.0,0.0,10.0,65.0,10.0,15.0,5.0,5.0,2.57,0.0,0.0,1.0,4.8,8.42,5.4,yes,4.0,3.0,Bohr,20.0,substep_mean
"Design survey instruments to measure preferences for redistribution, taxation, or government intervention.",subfield,Social Sciences,Economics,Political Economy,15.0,5.0,60.0,10.0,10.0,55.0,0.0,45.0,10.0,40.0,20.0,30.0,0.0,2.21,0.09,0.38,1.0,5.62,7.5,5.81,yes,4.0,3.0,Bohr,18.0,substep_mean
"Construct questionnaire items to capture perceptions of corruption, institutional trust, or political efficacy.",subfield,Social Sciences,Economics,Political Economy,20.0,5.0,60.0,10.0,5.0,85.0,0.0,15.0,20.0,40.0,25.0,15.0,0.0,2.17,0.21,0.21,1.0,5.29,6.66,5.5,yes,4.0,4.0,Pasteur,18.0,substep_mean
Develop interview protocols to elicit stakeholder perspectives on regulatory processes or policy implementation.,subfield,Social Sciences,Economics,Political Economy,15.0,5.0,65.0,10.0,5.0,30.0,0.0,70.0,5.0,5.0,60.0,30.0,0.0,2.6,0.51,1.1,1.0,3.18,4.95,3.33,yes,3.0,4.0,Edison,16.0,substep_mean
"Conduct elite interviews with policymakers, legislators, or interest group representatives to gather primary data on decision-making processes.",subfield,Social Sciences,Economics,Political Economy,5.0,0.0,80.0,10.0,5.0,20.0,0.0,80.0,0.0,5.0,90.0,5.0,0.0,2.12,0.09,1.0,1.0,4.92,6.81,5.51,yes,4.0,3.0,Bohr,18.0,substep_mean
"Extract historical data on trade policies, taxation, or property rights from archival sources.",subfield,Social Sciences,Economics,Political Economy,20.0,0.0,70.0,5.0,5.0,90.0,10.0,0.0,0.0,55.0,35.0,0.0,10.0,1.41,0.15,0.12,0.94,7.22,7.79,6.98,yes,4.0,2.0,Bohr,16.0,substep_mean
Derive novel indices from theoretical models or adjacent disciplines to operationalize abstract constructs.,subfield,Social Sciences,Economics,Political Economy,15.0,0.0,70.0,10.0,5.0,95.0,0.0,5.0,45.0,40.0,5.0,10.0,0.0,2.32,0.0,0.0,1.0,6.01,8.74,6.47,yes,4.0,3.0,Bohr,20.0,substep_mean
Negotiate access to restricted government administrative data or proprietary datasets held by international organizations.,subfield,Social Sciences,Economics,Political Economy,5.0,5.0,5.0,25.0,60.0,20.0,5.0,75.0,0.0,5.0,5.0,0.0,90.0,2.07,0.0,1.97,1.0,4.57,4.86,4.01,yes,3.0,3.0,neither,18.0,substep_mean
"Assess whether political-economic relationships hold across different regime types, electoral systems, or levels of economic development.",subfield,Social Sciences,Economics,Political Economy,10.0,5.0,65.0,15.0,5.0,90.0,0.0,10.0,5.0,85.0,5.0,0.0,5.0,2.13,0.0,0.0,1.0,6.7,9.14,6.8,yes,4.0,3.0,Bohr,20.0,substep_mean
Compare competing model specifications estimated on the same data to select the better-performing one.,subfield,Social Sciences,Economics,Political Economy,5.0,15.0,65.0,10.0,5.0,95.0,0.0,5.0,5.0,90.0,0.0,5.0,0.0,1.8,0.0,0.0,1.0,8.06,9.49,7.7,yes,4.0,3.0,Bohr,16.0,substep_mean
"Appraise the categories, criteria, and value assumptions underlying applied economic analysis to judge their appropriateness.",subfield,Social Sciences,Economics,Political Economy,20.0,55.0,10.0,15.0,0.0,95.0,0.0,5.0,50.0,5.0,40.0,0.0,5.0,2.86,0.0,0.0,1.0,4.7,8.16,5.18,yes,5.0,2.0,Bohr,20.0,substep_mean
Analyze the institutional and political dynamics of the academic profession to explain the dominance or diffusion of economic ideas.,subfield,Social Sciences,Economics,Political Economy,20.0,5.0,55.0,15.0,5.0,60.0,0.0,40.0,25.0,10.0,55.0,0.0,10.0,2.5,0.09,0.17,1.0,4.65,7.93,4.72,yes,4.0,2.0,Bohr,20.0,substep_mean
Analyze primary texts and documentary sources to reconstruct ideas or organize them into analytical categories.,subfield,Social Sciences,Economics,Political Economy,25.0,5.0,55.0,15.0,0.0,95.0,5.0,0.0,15.0,0.0,80.0,0.0,5.0,2.76,0.06,0.0,1.0,4.2,8.28,5.13,yes,5.0,1.0,Bohr,18.0,substep_mean
Harmonize fiscal and budgetary variables across countries or time periods to enable comparative analysis.,subfield,Social Sciences,Economics,Political Economy,15.0,5.0,65.0,10.0,5.0,95.0,0.0,5.0,0.0,90.0,5.0,5.0,0.0,2.15,0.0,0.41,1.0,5.92,8.42,6.46,yes,3.0,4.0,Edison,16.0,substep_mean
"Code and standardize political institution variables such as regime type, electoral rules, or veto players.",subfield,Social Sciences,Economics,Political Economy,25.0,5.0,60.0,5.0,5.0,90.0,0.0,10.0,5.0,40.0,45.0,10.0,0.0,1.92,0.0,0.0,1.0,6.46,9.13,6.88,yes,4.0,2.0,Bohr,16.0,substep_mean
"Code policy documents, legislative debates, or party manifestos to identify ideological positions or policy priorities.",subfield,Social Sciences,Economics,Political Economy,10.0,5.0,70.0,10.0,5.0,95.0,0.0,5.0,5.0,40.0,45.0,5.0,5.0,1.93,0.0,0.0,1.0,6.46,8.61,6.4,yes,4.0,3.0,Bohr,16.0,substep_mean
Employ instrumental variable strategies to address endogeneity between political and economic variables.,subfield,Social Sciences,Economics,Political Economy,5.0,0.0,80.0,15.0,0.0,95.0,0.0,5.0,5.0,90.0,0.0,5.0,0.0,2.29,0.0,0.0,1.0,4.22,5.82,4.41,yes,4.0,3.0,Bohr,20.0,substep_mean
Apply difference-in-differences or regression discontinuity designs to estimate causal effects of policy changes or institutional reforms.,subfield,Social Sciences,Economics,Political Economy,5.0,0.0,80.0,10.0,5.0,95.0,0.0,5.0,5.0,90.0,0.0,5.0,0.0,2.1,0.0,0.0,1.0,7.01,8.92,7.52,yes,4.0,4.0,Pasteur,18.0,substep_mean
"Control for confounding factors such as economic conditions, demographic composition, or historical legacies in observational analyses.",subfield,Social Sciences,Economics,Political Economy,5.0,0.0,90.0,5.0,0.0,100.0,0.0,0.0,5.0,90.0,0.0,0.0,5.0,2.19,0.0,0.0,1.0,6.72,9.2,6.92,yes,4.0,2.0,Bohr,18.0,substep_mean
Examine existing measures or arguments in detail to expose unexplained variation or inconsistency.,subfield,Social Sciences,Economics,Microeconomic Theory,25.0,45.0,20.0,10.0,0.0,95.0,0.0,5.0,80.0,10.0,5.0,0.0,5.0,2.94,0.0,0.0,1.0,6.44,8.82,6.44,yes,5.0,1.0,Bohr,18.0,substep_mean
Formulate research questions using game-theoretic frameworks to analyze strategic interactions among economic agents.,subfield,Social Sciences,Economics,Microeconomic Theory,15.0,0.0,75.0,10.0,0.0,100.0,0.0,0.0,90.0,0.0,0.0,0.0,10.0,3.01,0.0,0.0,1.0,3.13,5.71,2.93,yes,5.0,2.0,Bohr,20.0,substep_mean
Apply mechanism design principles to frame questions about optimal institutional arrangements and incentive structures.,subfield,Social Sciences,Economics,Microeconomic Theory,10.0,0.0,75.0,10.0,5.0,95.0,0.0,5.0,85.0,5.0,0.0,10.0,0.0,2.9,0.0,0.0,1.0,6.83,9.19,6.72,yes,4.0,4.0,Pasteur,20.0,substep_mean
Draw on established theoretical frameworks to motivate and frame research questions or hypotheses.,subfield,Social Sciences,Economics,Microeconomic Theory,55.0,5.0,20.0,20.0,0.0,95.0,0.0,5.0,80.0,5.0,5.0,0.0,10.0,2.94,0.0,0.0,1.0,3.83,8.49,3.93,yes,5.0,1.0,Bohr,20.0,substep_mean
