task,level,domain,field,subfield,importance,pct_researchers,frequency,classification
Address selection bias arising from differences between contested and uncontested divorce cases in court records.,subfield,Social Sciences,Law,Family Law,4,90,3,Core
"Control for confounding factors such as income, jurisdiction, and legal representation when analyzing family law outcomes.",subfield,Social Sciences,Law,Family Law,4,95,3,Core
Translate doctrinal analysis into practical guidance for professionals handling the matters concerned,subfield,Social Sciences,Law,Family Law,4,100,3,Core
Coordinate with family courts or court administrators to obtain access to case files and hearing records.,subfield,Social Sciences,Law,Family Law,4,90,3,Core
Partner with legal aid organizations or family law clinics to recruit study participants from litigant populations.,subfield,Social Sciences,Law,Family Law,3,85,2,Core
"Compile journalistic, documentary, and secondary sources into case evidence supporting a theoretical argument",field,Social Sciences,Political Science,International Relations,4,97,4,Core
Trace sequences of events and decisions within cases to reconstruct the causal mechanisms producing political outcomes,field,Social Sciences,Political Science,International Relations,4,95,4,Core
Build and solve formal models of strategic interaction to derive testable propositions about political behavior,field,Social Sciences,Political Science,International Relations,3,60,2,Supplemental
Code attributes and events from documentary and public records to build original political datasets,field,Social Sciences,Political Science,International Relations,4,88,3,Core
Trace how policy ideas or institutional models circulate and are re-contextualized across jurisdictions and settings,field,Social Sciences,Political Science,International Relations,3,85,3,Core
Interpret statutes and judicial rulings doctrinally to assess their implications for political institutions or state conduct,field,Social Sciences,Political Science,International Relations,3,80,3,Core
Engage with behavioral or institutional theories when framing research questions.,domain,Social Sciences,Law,Intellectual Property Law,3,90,3,Core
"Consider whether findings will generalize across populations, time periods, or contexts.",domain,Social Sciences,Law,Intellectual Property Law,4,95,3,Core
"Design surveys or questionnaires to measure attitudes, behaviors, or experiences.",domain,Social Sciences,Law,Intellectual Property Law,2,55,2,Supplemental
Design interview or focus group protocols to collect qualitative data.,domain,Social Sciences,Law,Intellectual Property Law,3,65,2,Supplemental
Obtain IRB approval and informed consent for research with human subjects.,domain,Social Sciences,Law,Intellectual Property Law,2,55,2,Supplemental
"Collect primary data through surveys, interviews, or observations of people.",domain,Social Sciences,Law,Intellectual Property Law,3,60,2,Supplemental
"Acquire secondary data from administrative records, censuses, or public datasets.",domain,Social Sciences,Law,Intellectual Property Law,4,95,3,Core
Clean and recode self-reported or text-based responses.,domain,Social Sciences,Law,Intellectual Property Law,3,70,3,Core
Code qualitative data from interviews or open-ended responses.,domain,Social Sciences,Law,Intellectual Property Law,3,70,3,Core
Address selection bias and confounding when analyzing observational data.,domain,Social Sciences,Law,Intellectual Property Law,3,80,3,Core
Coordinate with organizations for data access or to recruit study participants.,domain,Social Sciences,Law,Intellectual Property Law,3,75,2,Core
"Develop conceptual frameworks, typologies, or definitions by synthesizing existing theory to organize and explain a focal phenomenon",domain,Social Sciences,Law,Intellectual Property Law,5,100,4,Core
Translate research findings into actionable recommendations or guidelines for practitioners and policymakers,domain,Social Sciences,Law,Intellectual Property Law,5,100,3,Core
Use the researcher's own lived and embodied experience as primary data for analysis,domain,Social Sciences,Law,Intellectual Property Law,2,45,2,Supplemental
"Analyze documentary and archival sources, such as policy texts or legislation, as primary evidence on institutional practices and contexts",domain,Social Sciences,Law,Intellectual Property Law,5,100,5,Core
"Corroborate findings by triangulating independent data sources, methods, or informants to establish the credibility of interpretations",domain,Social Sciences,Law,Intellectual Property Law,4,95,3,Core
Derive analytic variables or indicators from existing records and data sources to operationalize study constructs,domain,Social Sciences,Law,Intellectual Property Law,3,85,3,Core
Design sampling and eligibility criteria to select participants or study units for data collection,domain,Social Sciences,Law,Intellectual Property Law,3,75,2,Core
Assess the reliability and validity of measurement instruments before substantive analysis,domain,Social Sciences,Law,Intellectual Property Law,3,70,2,Core
"Select and justify cases, sites, or jurisdictions on explicit criteria to structure comparison",domain,Social Sciences,Law,Intellectual Property Law,4,95,3,Core
"Reconstruct the historical development of institutions, practices, or ideas from documentary and archival sources to explain their present form",domain,Social Sciences,Law,Intellectual Property Law,4,95,4,Core
Design and deliver instructional or behavioral intervention protocols to serve as the treatment under study,domain,Social Sciences,Law,Intellectual Property Law,2,35,1,Supplemental
Combine multiple indicators into composite indices to measure latent constructs and compare units,domain,Social Sciences,Law,Intellectual Property Law,3,60,2,Supplemental
Validate constructed measures by comparing them against independent data sources or reference values to establish their reliability,domain,Social Sciences,Law,Intellectual Property Law,3,75,3,Core
"Evaluate programs, policies, or rules against their stated objectives using empirical evidence on how they operate in practice",domain,Social Sciences,Law,Intellectual Property Law,4,95,3,Core
Identify collected specimens to species using taxonomic keys and comparison with reference material.,field,Life Sciences,Biology,Marine Biology,5,100,4,Core
Assign individual animals to age or reproductive stage categories using standardized morphological criteria.,field,Life Sciences,Biology,Marine Biology,4,92,3,Core
Characterize individual organisms by measuring or scoring standardized morphological traits.,field,Life Sciences,Biology,Marine Biology,4,97,4,Core
"Compile and verify occurrence records from collections, literature, and field surveys to document species distributions.",field,Life Sciences,Biology,Marine Biology,4,95,3,Core
"Assign species to standardized categories, such as life-form or trophic role, using published classification schemes and records.",field,Life Sciences,Biology,Marine Biology,3,90,3,Core
Obtain permits from governmental and land-management authorities for field access and specimen collection.,field,Life Sciences,Biology,Marine Biology,4,95,2,Core
Analyze sequence and sample data from organisms to identify genes or products and infer their biological function.,field,Life Sciences,Biology,Marine Biology,4,88,3,Core
Identify and characterize repetitive and transposable elements in genome assemblies to describe repeat content.,field,Life Sciences,Biology,Marine Biology,2,55,2,Supplemental
Reconstruct ancestral character states or ranges on a phylogeny to infer evolutionary transitions.,field,Life Sciences,Biology,Marine Biology,3,70,2,Core
Establish and revise formal classifications by assigning taxa to ranks and names consistent with systematic evidence.,field,Life Sciences,Biology,Marine Biology,3,72,2,Core
